speaker_id;session;speech_id;word;word_n
1402;15/2019;2019_15_145;arvoisa;3
1402;15/2019;2019_15_145;rouva;1
1402;15/2019;2019_15_145;puhemies;4
1402;15/2019;2019_15_145;elää;1
1402;15/2019;2019_15_145;maailma;3
1402;15/2019;2019_15_145;joka;3
1402;15/2019;2019_15_145;ilmastomuutos;1
1402;15/2019;2019_15_145;sota;1
1402;15/2019;2019_15_145;ja;23
1402;15/2019;2019_15_145;konflikti;1
1402;15/2019;2019_15_145;sekä;5
1402;15/2019;2019_15_145;se;4
1402;15/2019;2019_15_145;aikaansaada;1
1402;15/2019;2019_15_145;muuttoliike;1
1402;15/2019;2019_15_145;ei;2
1402;15/2019;2019_15_145;rajoittua;1
1402;15/2019;2019_15_145;vain;1
1402;15/2019;2019_15_145;kansallisvaltio;1
1402;15/2019;2019_15_145;raja;1
1402;15/2019;2019_15_145;sisäpuoli;1
1402;15/2019;2019_15_145;maailmanlaajuinen;1
1402;15/2019;2019_15_145;ongelma;1
1402;15/2019;2019_15_145;ratkaiseminen;1
1402;15/2019;2019_15_145;tulla;2
1402;15/2019;2019_15_145;tapahtua;1
1402;15/2019;2019_15_145;niin;2
1402;15/2019;2019_15_145;paikallisesti;1
1402;15/2019;2019_15_145;kuin;2
1402;15/2019;2019_15_145;globaali;2
1402;15/2019;2019_15_145;taso;1
1402;15/2019;2019_15_145;monenkeskinen;2
1402;15/2019;2019_15_145;yhteistyö;2
1402;15/2019;2019_15_145;kautta;2
1402;15/2019;2019_15_145;kansainvälinen;4
1402;15/2019;2019_15_145;yhteistyörakenne;1
1402;15/2019;2019_15_145;kärsiä;2
1402;15/2019;2019_15_145;kuitenkin;1
1402;15/2019;2019_15_145;vastakkainasettelu;1
1402;15/2019;2019_15_145;olla;25
1402;15/2019;2019_15_145;tärkeä;5
1402;15/2019;2019_15_145;että;8
1402;15/2019;2019_15_145;sääntöpohjainen;1
1402;15/2019;2019_15_145;järjestelmä;1
1402;15/2019;2019_15_145;oikeus;3
1402;15/2019;2019_15_145;perusta;1
1402;15/2019;2019_15_145;tukea;2
1402;15/2019;2019_15_145;pystyä;1
1402;15/2019;2019_15_145;kehittää;1
1402;15/2019;2019_15_145;tämä;8
1402;15/2019;2019_15_145;osa;1
1402;15/2019;2019_15_145;hallitusohjelma;7
1402;15/2019;2019_15_145;kirjaus;3
1402;15/2019;2019_15_145;vahva;1
1402;15/2019;2019_15_145;sitoutuminen;2
1402;15/2019;2019_15_145;ihmisoikeus;2
1402;15/2019;2019_15_145;demokratia;1
1402;15/2019;2019_15_145;oikeusvaltio;1
1402;15/2019;2019_15_145;heikentyä;1
1402;15/2019;2019_15_145;äärimmäinen;1
1402;15/2019;2019_15_145;köyhyys;1
1402;15/2019;2019_15_145;poistua;1
1402;15/2019;2019_15_145;kansalaisyhteiskunta;1
1402;15/2019;2019_15_145;tila;1
1402;15/2019;2019_15_145;kaveta;1
1402;15/2019;2019_15_145;moni;1
1402;15/2019;2019_15_145;paikoin;1
1402;15/2019;2019_15_145;ulko;1
1402;15/2019;2019_15_145;turvallisuuspolitiikka;1
1402;15/2019;2019_15_145;läpileikata;1
1402;15/2019;2019_15_145;linja;3
1402;15/2019;2019_15_145;ihmisoikeusperustainen;1
1402;15/2019;2019_15_145;edistää;2
1402;15/2019;2019_15_145;yk;5
1402;15/2019;2019_15_145;kestävä;2
1402;15/2019;2019_15_145;kehitys;1
1402;15/2019;2019_15_145;toimintaohjelma;1
1402;15/2019;2019_15_145;agenda;2
1402;15/2019;2019_15_145;tavoite;2
1402;15/2019;2019_15_145;toteutuminen;1
1402;15/2019;2019_15_145;johdonmukaisesti;1
1402;15/2019;2019_15_145;kaikki;2
1402;15/2019;2019_15_145;politiikkalohko;1
1402;15/2019;2019_15_145;voida;1
1402;15/2019;2019_15_145;ylpeä;1
1402;15/2019;2019_15_145;lisäksi;1
1402;15/2019;2019_15_145;suomi;7
1402;15/2019;2019_15_145;toiminta;1
1402;15/2019;2019_15_145;määritellä;1
1402;15/2019;2019_15_145;pariisi;1
1402;15/2019;2019_15_145;ilmastosopimus;1
1402;15/2019;2019_15_145;hiilineutraalisuustavoite;1
1402;15/2019;2019_15_145;läpivienti;1
1402;15/2019;2019_15_145;tarvita;1
1402;15/2019;2019_15_145;kunnianhimo;1
1402;15/2019;2019_15_145;kotimaa;1
1402;15/2019;2019_15_145;sitoutua;2
1402;15/2019;2019_15_145;kantaa;1
1402;15/2019;2019_15_145;vastuu;2
1402;15/2019;2019_15_145;ilmastorahoitus;1
1402;15/2019;2019_15_145;ehkäistä;1
1402;15/2019;2019_15_145;ilmasto;2
1402;15/2019;2019_15_145;lämpeneminen;1
1402;15/2019;2019_15_145;koko;1
1402;15/2019;2019_15_145;aika;3
1402;15/2019;2019_15_145;kasvaa;1
1402;15/2019;2019_15_145;tarve;2
1402;15/2019;2019_15_145;sopeutua;1
1402;15/2019;2019_15_145;ääri-ilmiö;1
1402;15/2019;2019_15_145;tuoda;1
1402;15/2019;2019_15_145;muutos;2
1402;15/2019;2019_15_145;eu-puheenjohtajuuskausi;1
1402;15/2019;2019_15_145;osoittaa;1
1402;15/2019;2019_15_145;johtajuus;1
1402;15/2019;2019_15_145;ilmastoagenda;1
1402;15/2019;2019_15_145;nopea;1
1402;15/2019;2019_15_145;edistäminen;1
1402;15/2019;2019_15_145;edellinen;1
1402;15/2019;2019_15_145;vuosikymmen;1
1402;15/2019;2019_15_145;tituleerata;1
1402;15/2019;2019_15_145;rauhanturvaaminen;1
1402;15/2019;2019_15_145;suurvalta;1
1402;15/2019;2019_15_145;haluta;2
1402;15/2019;2019_15_145;nimi;1
1402;15/2019;2019_15_145;veroinen;1
1402;15/2019;2019_15_145;tulevaisuus;1
1402;15/2019;2019_15_145;uusi;2
