speaker_id;session;speech_id;word;word_n
1118;14/2015;2015_14_148;arvoisa;2
1118;14/2015;2015_14_148;rouva;1
1118;14/2015;2015_14_148;puhemies;2
1118;14/2015;2015_14_148;tämä;20
1118;14/2015;2015_14_148;hallitusohjelma;8
1118;14/2015;2015_14_148;olla;51
1118;14/2015;2015_14_148;hyvinvointivaltio;2
1118;14/2015;2015_14_148;pelastusrengas;3
1118;14/2015;2015_14_148;jos;4
1118;14/2015;2015_14_148;ei;14
1118;14/2015;2015_14_148;joku;2
1118;14/2015;2015_14_148;itse;3
1118;14/2015;2015_14_148;pystyä;1
1118;14/2015;2015_14_148;tarrautua;3
1118;14/2015;2015_14_148;se;44
1118;14/2015;2015_14_148;niin;6
1118;14/2015;2015_14_148;hän;2
1118;14/2015;2015_14_148;auttaa;2
1118;14/2015;2015_14_148;mutta;10
1118;14/2015;2015_14_148;soida;1
1118;14/2015;2015_14_148;että;11
1118;14/2015;2015_14_148;kaikki;4
1118;14/2015;2015_14_148;nimittäin;1
1118;14/2015;2015_14_148;minä;8
1118;14/2015;2015_14_148;tehdä;10
1118;14/2015;2015_14_148;radikaali;2
1118;14/2015;2015_14_148;iso;1
1118;14/2015;2015_14_148;toimenpide;2
1118;14/2015;2015_14_148;joka;3
1118;14/2015;2015_14_148;aika;4
1118;14/2015;2015_14_148;lailla;1
1118;14/2015;2015_14_148;kipeä;1
1118;14/2015;2015_14_148;itä;1
1118;14/2015;2015_14_148;kukin;1
1118;14/2015;2015_14_148;jokin;4
1118;14/2015;2015_14_148;enemmän;1
1118;14/2015;2015_14_148;vähemmän;1
1118;14/2015;2015_14_148;lapsi;4
1118;14/2015;2015_14_148;takia;2
1118;14/2015;2015_14_148;aina;3
1118;14/2015;2015_14_148;kantti;1
1118;14/2015;2015_14_148;jättää;1
1118;14/2015;2015_14_148;velkataakka;1
1118;14/2015;2015_14_148;ja;33
1118;14/2015;2015_14_148;tuskin;1
1118;14/2015;2015_14_148;kukaan;2
1118;14/2015;2015_14_148;muu;6
1118;14/2015;2015_14_148;saada;1
1118;14/2015;2015_14_148;vienti;1
1118;14/2015;2015_14_148;vetää;1
1118;14/2015;2015_14_148;talous;1
1118;14/2015;2015_14_148;nousu;1
1118;14/2015;2015_14_148;ilman;1
1118;14/2015;2015_14_148;muuta;1
1118;14/2015;2015_14_148;edellytys;1
1118;14/2015;2015_14_148;näin;4
1118;14/2015;2015_14_148;pitää;7
1118;14/2015;2015_14_148;kuitenkaan;2
1118;14/2015;2015_14_148;enempää;1
1118;14/2015;2015_14_148;tänään;1
1118;14/2015;2015_14_148;keskustella;1
1118;14/2015;2015_14_148;koska;1
1118;14/2015;2015_14_148;tuntua;1
1118;14/2015;2015_14_148;kaksi;1
1118;14/2015;2015_14_148;päivä;3
1118;14/2015;2015_14_148;riittää;1
1118;14/2015;2015_14_148;juttu;2
1118;14/2015;2015_14_148;ihan;3
