speaker_id;session;speech_id;word;word_n
1380;72/2018;2018_72_209;arvoisa;1
1380;72/2018;2018_72_209;rouva;1
1380;72/2018;2018_72_209;puhemies;1
1380;72/2018;2018_72_209;tämä;6
1380;72/2018;2018_72_209;sali;1
1380;72/2018;2018_72_209;olla;32
1380;72/2018;2018_72_209;käyttää;1
1380;72/2018;2018_72_209;tänään;1
1380;72/2018;2018_72_209;lukuinen;1
1380;72/2018;2018_72_209;ansioitunut;1
1380;72/2018;2018_72_209;puheenvuoro;2
1380;72/2018;2018_72_209;joka;9
1380;72/2018;2018_72_209;tuoda;1
1380;72/2018;2018_72_209;esille;1
1380;72/2018;2018_72_209;muun;1
1380;72/2018;2018_72_209;muassa;1
1380;72/2018;2018_72_209;se;17
1380;72/2018;2018_72_209;haaste;1
1380;72/2018;2018_72_209;ja;12
1380;72/2018;2018_72_209;mahdollisuus;1
1380;72/2018;2018_72_209;kohentua;2
1380;72/2018;2018_72_209;kansantaloudellinen;1
1380;72/2018;2018_72_209;tila;1
1380;72/2018;2018_72_209;eteen;1
1380;72/2018;2018_72_209;avata;1
1380;72/2018;2018_72_209;käydä;1
1380;72/2018;2018_72_209;keskustelu;1
1380;72/2018;2018_72_209;kuunnella;1
1380;72/2018;2018_72_209;suhteellinen;1
1380;72/2018;2018_72_209;helppo;1
1380;72/2018;2018_72_209;tehdä;1
1380;72/2018;2018_72_209;johtopäätös;1
1380;72/2018;2018_72_209;ajankohtainen;1
1380;72/2018;2018_72_209;agenda;1
1380;72/2018;2018_72_209;paljon;1
1380;72/2018;2018_72_209;asia;3
1380;72/2018;2018_72_209;eduskunta;1
1380;72/2018;2018_72_209;ei;9
1380;72/2018;2018_72_209;löytää;3
1380;72/2018;2018_72_209;keskuus;1
1380;72/2018;2018_72_209;yhteinen;2
1380;72/2018;2018_72_209;näkemys;1
1380;72/2018;2018_72_209;rohjeta;1
1380;72/2018;2018_72_209;kuitenkin;2
1380;72/2018;2018_72_209;olettaa;2
1380;72/2018;2018_72_209;että;8
1380;72/2018;2018_72_209;minä;1
1380;72/2018;2018_72_209;kaikki;1
1380;72/2018;2018_72_209;kantaa;2
1380;72/2018;2018_72_209;huoli;2
1380;72/2018;2018_72_209;talous;2
1380;72/2018;2018_72_209;myötätuuli;1
1380;72/2018;2018_72_209;välttämättä;2
1380;72/2018;2018_72_209;stabiili;1
1380;72/2018;2018_72_209;olotila;1
1380;72/2018;2018_72_209;lisätalousarvio;1
1380;72/2018;2018_72_209;käsittely;1
1380;72/2018;2018_72_209;yhteys;1
1380;72/2018;2018_72_209;haluta;1
1380;72/2018;2018_72_209;kiinnittää;2
1380;72/2018;2018_72_209;huomio;3
1380;72/2018;2018_72_209;kasvu;1
1380;72/2018;2018_72_209;elinvoima;2
1380;72/2018;2018_72_209;kanta;2
1380;72/2018;2018_72_209;tärkeä;1
1380;72/2018;2018_72_209;teema;1
1380;72/2018;2018_72_209;aktiivinen;1
1380;72/2018;2018_72_209;työllisyyspolitiikka;2
1380;72/2018;2018_72_209;eli;1
1380;72/2018;2018_72_209;työllisyys;5
1380;72/2018;2018_72_209;hoito;4
1380;72/2018;2018_72_209;viitata;1
1380;72/2018;2018_72_209;nyt;1
1380;72/2018;2018_72_209;lanseerata;1
1380;72/2018;2018_72_209;aktiivimalli;3
1380;72/2018;2018_72_209;vaan;1
1380;72/2018;2018_72_209;tahtotila;1
1380;72/2018;2018_72_209;niin;1
1380;72/2018;2018_72_209;kansantaloudellisesti;1
1380;72/2018;2018_72_209;kuin;1
1380;72/2018;2018_72_209;sosiaalisesti;1
1380;72/2018;2018_72_209;kestävä;1
1380;72/2018;2018_72_209;tapa;4
1380;72/2018;2018_72_209;turvata;1
1380;72/2018;2018_72_209;jokainen;1
1380;72/2018;2018_72_209;kansalainen;1
1380;72/2018;2018_72_209;perusoikeus;1
1380;72/2018;2018_72_209;työ;2
1380;72/2018;2018_72_209;sellainen;1
1380;72/2018;2018_72_209;kyetä;3
1380;72/2018;2018_72_209;elättää;1
1380;72/2018;2018_72_209;itse;1
1380;72/2018;2018_72_209;perhe;1
1380;72/2018;2018_72_209;yleinen;1
1380;72/2018;2018_72_209;taloustilanne;1
1380;72/2018;2018_72_209;kehitystrendi;1
1380;72/2018;2018_72_209;sangen;1
1380;72/2018;2018_72_209;rohkaiseva;1
1380;72/2018;2018_72_209;samalla;2
1380;72/2018;2018_72_209;nähdä;2
1380;72/2018;2018_72_209;pitkäaikaistyöttömyys;1
1380;72/2018;2018_72_209;lähteä;1
1380;72/2018;2018_72_209;lasku;1
1380;72/2018;2018_72_209;likipitäen;1
1380;72/2018;2018_72_209;odottaa;1
1380;72/2018;2018_72_209;tietää;1
1380;72/2018;2018_72_209;elinkeinoelämä;1
1380;72/2018;2018_72_209;virkistyminen;1
1380;72/2018;2018_72_209;myönteinen;1
1380;72/2018;2018_72_209;vaikutus;1
1380;72/2018;2018_72_209;heijastua;1
1380;72/2018;2018_72_209;tuo;2
1380;72/2018;2018_72_209;kenttä;2
1380;72/2018;2018_72_209;joskus;1
1380;72/2018;2018_72_209;vuosi;1
1380;72/2018;2018_72_209;viive;1
1380;72/2018;2018_72_209;yksin;1
1380;72/2018;2018_72_209;riittää;1
1380;72/2018;2018_72_209;poistaa;2
1380;72/2018;2018_72_209;yksi;2
1380;72/2018;2018_72_209;merkittävä;4
1380;72/2018;2018_72_209;köyhyys;1
1380;72/2018;2018_72_209;ylläpitää;1
1380;72/2018;2018_72_209;ongelma;2
1380;72/2018;2018_72_209;pitkäaikaistyötön;1
1380;72/2018;2018_72_209;huhtikuu;1
1380;72/2018;2018_72_209;loppu;1
1380;72/2018;2018_72_209;suomalainen;1
1380;72/2018;2018_72_209;jonkinlainen;1
1380;72/2018;2018_72_209;fakta;1
1380;72/2018;2018_72_209;kokemus;1
1380;72/2018;2018_72_209;pohjautua;1
1380;72/2018;2018_72_209;ymmärrys;1
1380;72/2018;2018_72_209;köyhyysraja;1
1380;72/2018;2018_72_209;tai;4
1380;72/2018;2018_72_209;alla;1
1380;72/2018;2018_72_209;elää;1
1380;72/2018;2018_72_209;ihminen;1
1380;72/2018;2018_72_209;arki;1
1380;72/2018;2018_72_209;ymmärtää;1
1380;72/2018;2018_72_209;myös;3
1380;72/2018;2018_72_209;kysymys;1
1380;72/2018;2018_72_209;ohella;1
1380;72/2018;2018_72_209;todella;2
1380;72/2018;2018_72_209;lapsi;1
1380;72/2018;2018_72_209;nuori;1
1380;72/2018;2018_72_209;hyvinvointi;1
1380;72/2018;2018_72_209;inhimillisyys;1
1380;72/2018;2018_72_209;yhteiskunta;1
1380;72/2018;2018_72_209;yhtenäisyys;1
1380;72/2018;2018_72_209;vaikuttaa;1
1380;72/2018;2018_72_209;vallita;1
1380;72/2018;2018_72_209;työllisyyspoliittinen;1
1380;72/2018;2018_72_209;linjaus;1
1380;72/2018;2018_72_209;pureutua;1
1380;72/2018;2018_72_209;työttömyys;1
1380;72/2018;2018_72_209;kova;1
1380;72/2018;2018_72_209;ydin;1
1380;72/2018;2018_72_209;edesauttaa;1
1380;72/2018;2018_72_209;työelämä;1
1380;72/2018;2018_72_209;siirtyminen;1
1380;72/2018;2018_72_209;palaaminen;1
1380;72/2018;2018_72_209;vaikeus;1
1380;72/2018;2018_72_209;syy;1
1380;72/2018;2018_72_209;toinen;1
1380;72/2018;2018_72_209;työllisyyspalvelu;1
1380;72/2018;2018_72_209;rooli;1
