speaker_id;session;speech_id;word;word_n
118;53/2015;2015_53_10;arvoisa;3
118;53/2015;2015_53_10;puhemies;3
118;53/2015;2015_53_10;pitkä;1
118;53/2015;2015_53_10;linja;1
118;53/2015;2015_53_10;ulkopoliittinen;1
118;53/2015;2015_53_10;vaikuttaja;1
118;53/2015;2015_53_10;ministeri;1
118;53/2015;2015_53_10;jaakko;1
118;53/2015;2015_53_10;iloniemi;1
118;53/2015;2015_53_10;muistuttaa;2
118;53/2015;2015_53_10;äskettäin;1
118;53/2015;2015_53_10;että;4
118;53/2015;2015_53_10;maailma;5
118;53/2015;2015_53_10;ei;3
118;53/2015;2015_53_10;pysähtyä;1
118;53/2015;2015_53_10;odottaa;1
118;53/2015;2015_53_10;se;8
118;53/2015;2015_53_10;milloin;1
118;53/2015;2015_53_10;minä;6
118;53/2015;2015_53_10;suomalainen;2
118;53/2015;2015_53_10;saada;1
118;53/2015;2015_53_10;talous;2
118;53/2015;2015_53_10;kunto;1
118;53/2015;2015_53_10;tapahtuma;1
118;53/2015;2015_53_10;vyöryä;1
118;53/2015;2015_53_10;eteen;1
118;53/2015;2015_53_10;ja;17
118;53/2015;2015_53_10;olla;22
118;53/2015;2015_53_10;reagoida;2
118;53/2015;2015_53_10;oikea-aikaisesti;1
118;53/2015;2015_53_10;pieni;2
118;53/2015;2015_53_10;maa;3
118;53/2015;2015_53_10;etu;1
118;53/2015;2015_53_10;kansainvälinen;4
118;53/2015;2015_53_10;sopimus;1
118;53/2015;2015_53_10;suvereniteetti;1
118;53/2015;2015_53_10;kunnioittaa;1
118;53/2015;2015_53_10;kohdistua;4
118;53/2015;2015_53_10;loukkaus;1
118;53/2015;2015_53_10;puuttua;1
118;53/2015;2015_53_10;oikein;2
118;53/2015;2015_53_10;krim;1
118;53/2015;2015_53_10;laiton;1
118;53/2015;2015_53_10;miehitys;1
118;53/2015;2015_53_10;itä-ukraina;1
118;53/2015;2015_53_10;kriisi;4
118;53/2015;2015_53_10;yhdessä;1
118;53/2015;2015_53_10;eu;1
118;53/2015;2015_53_10;kanssa;3
118;53/2015;2015_53_10;talouspakote;1
118;53/2015;2015_53_10;vaikka;1
118;53/2015;2015_53_10;rasittaa;1
118;53/2015;2015_53_10;nyt;4
118;53/2015;2015_53_10;oma;1
118;53/2015;2015_53_10;kannattaa;1
