speaker_id;session;speech_id;word;word_n
1109;27/2019;2019_27_4;arvoisa;1
1109;27/2019;2019_27_4;puhemies;1
1109;27/2019;2019_27_4;valtionyhtiö;3
1109;27/2019;2019_27_4;posti;2
1109;27/2019;2019_27_4;työntekijä;1
1109;27/2019;2019_27_4;palkka;2
1109;27/2019;2019_27_4;olla;4
1109;27/2019;2019_27_4;uhata;1
1109;27/2019;2019_27_4;leikata;2
1109;27/2019;2019_27_4;jo;1
1109;27/2019;2019_27_4;prosentti;1
1109;27/2019;2019_27_4;samalla;1
1109;27/2019;2019_27_4;toimitusjohtaja;1
1109;27/2019;2019_27_4;ansio;1
1109;27/2019;2019_27_4;lähes;1
1109;27/2019;2019_27_4;kerta;1
1109;27/2019;2019_27_4;suomalainen;1
1109;27/2019;2019_27_4;mediaanipalkka;1
1109;27/2019;2019_27_4;perussuomalaiset;1
1109;27/2019;2019_27_4;mieli;1
1109;27/2019;2019_27_4;syy;1
1109;27/2019;2019_27_4;uudelleenarvioida;1
1109;27/2019;2019_27_4;minkälainen;1
1109;27/2019;2019_27_4;logiikka;1
1109;27/2019;2019_27_4;julkinen;2
1109;27/2019;2019_27_4;palvelu;1
1109;27/2019;2019_27_4;tuottaa;1
1109;27/2019;2019_27_4;pitää;1
1109;27/2019;2019_27_4;toimia;1
1109;27/2019;2019_27_4;voida;3
1109;27/2019;2019_27_4;perustellusti;1
1109;27/2019;2019_27_4;kysyä;2
1109;27/2019;2019_27_4;omistaja;1
1109;27/2019;2019_27_4;eli;1
1109;27/2019;2019_27_4;valtio;2
1109;27/2019;2019_27_4;kokonaisetu;1
1109;27/2019;2019_27_4;mukainen;1
1109;27/2019;2019_27_4;että;1
1109;27/2019;2019_27_4;ihminen;1
1109;27/2019;2019_27_4;ei;1
1109;27/2019;2019_27_4;saada;1
1109;27/2019;2019_27_4;työ;1
1109;27/2019;2019_27_4;joka;3
1109;27/2019;2019_27_4;tulla;1
1109;27/2019;2019_27_4;toimi;1
1109;27/2019;2019_27_4;vaan;1
1109;27/2019;2019_27_4;joutua;1
1109;27/2019;2019_27_4;turvautua;1
1109;27/2019;2019_27_4;tulonsiirto;1
1109;27/2019;2019_27_4;rahoittaa;1
1109;27/2019;2019_27_4;kassa;1
1109;27/2019;2019_27_4;myös;1
1109;27/2019;2019_27_4;miten;1
1109;27/2019;2019_27_4;yksityinen;1
1109;27/2019;2019_27_4;toimija;1
1109;27/2019;2019_27_4;edellyttää;1
1109;27/2019;2019_27_4;yhteiskuntavastuu;1
1109;27/2019;2019_27_4;jos;1
1109;27/2019;2019_27_4;omistaa;1
1109;27/2019;2019_27_4;yhtiö;1
1109;27/2019;2019_27_4;näyttää;1
1109;27/2019;2019_27_4;tällainen;1
1109;27/2019;2019_27_4;esimerkki;1
1109;27/2019;2019_27_4;aikoa;1
1109;27/2019;2019_27_4;hallitus;1
1109;27/2019;2019_27_4;ensinnä;1
1109;27/2019;2019_27_4;johto;1
1109;27/2019;2019_27_4;palkkio;2
1109;27/2019;2019_27_4;toinen;1
1109;27/2019;2019_27_4;muuttaa;1
1109;27/2019;2019_27_4;se;1
1109;27/2019;2019_27_4;onnistuminen;1
1109;27/2019;2019_27_4;kriteeri;1
1109;27/2019;2019_27_4;johtaja;1
1109;27/2019;2019_27_4;ja;2
1109;27/2019;2019_27_4;bonus;1
1109;27/2019;2019_27_4;perustua;1
1109;27/2019;2019_27_4;kolmas;1
1109;27/2019;2019_27_4;estää;1
1109;27/2019;2019_27_4;nyt;1
1109;27/2019;2019_27_4;suunnitella;1
1109;27/2019;2019_27_4;palkanalennus;1
1109;29/2019;2019_29_71;arvoisa;2
1109;29/2019;2019_29_71;puhemies;1
1109;29/2019;2019_29_71;kansanedustaja;1
1109;29/2019;2019_29_71;suomi;6
1109;29/2019;2019_29_71;silpomisilmiö;2
1109;29/2019;2019_29_71;koskettaa;1
1109;29/2019;2019_29_71;pääasiassa;1
1109;29/2019;2019_29_71;somali;1
1109;29/2019;2019_29_71;joka;6
1109;29/2019;2019_29_71;olla;35
1109;29/2019;2019_29_71;pitkään;1
1109;29/2019;2019_29_71;merkittävä;1
1109;29/2019;2019_29_71;humanitaarinen;1
1109;29/2019;2019_29_71;maahanmuuttajavähemmistö;1
1109;29/2019;2019_29_71;somalia;1
1109;29/2019;2019_29_71;lähes;1
1109;29/2019;2019_29_71;sata;1
