speaker_id;session;speech_id;word;word_n
1446;4/2019;2019_4_58;arvoisa;1
1446;4/2019;2019_4_58;puhemies;1
1446;4/2019;2019_4_58;ehkä;1
1446;4/2019;2019_4_58;muutama;1
1446;4/2019;2019_4_58;huomio;3
1446;4/2019;2019_4_58;tämä;11
1446;4/2019;2019_4_58;raportti;1
1446;4/2019;2019_4_58;mutta;2
1446;4/2019;2019_4_58;tuo;1
1446;4/2019;2019_4_58;edustaja;4
1446;4/2019;2019_4_58;tynkkynen;2
1446;4/2019;2019_4_58;hyvä;3
1446;4/2019;2019_4_58;puheenvuoro;1
1446;4/2019;2019_4_58;kuitenkin;1
1446;4/2019;2019_4_58;sellainen;2
1446;4/2019;2019_4_58;tehdä;6
1446;4/2019;2019_4_58;että;5
1446;4/2019;2019_4_58;se;8
1446;4/2019;2019_4_58;rooli;2
1446;4/2019;2019_4_58;mikä;2
1446;4/2019;2019_4_58;yle;10
1446;4/2019;2019_4_58;olla;17
1446;4/2019;2019_4_58;verrata;1
1446;4/2019;2019_4_58;vaikkapa;1
1446;4/2019;2019_4_58;iltapäivälehti;1
1446;4/2019;2019_4_58;kovin;1
1446;4/2019;2019_4_58;erilainen;1
1446;4/2019;2019_4_58;ja;16
1446;4/2019;2019_4_58;toivoa;2
1446;4/2019;2019_4_58;ei;2
1446;4/2019;2019_4_58;klikkijournalismi;1
1446;4/2019;2019_4_58;tulla;4
1446;4/2019;2019_4_58;mennä;1
1446;4/2019;2019_4_58;yhtä;1
1446;4/2019;2019_4_58;kaikki;1
1446;4/2019;2019_4_58;minä;10
1446;4/2019;2019_4_58;raportointi;1
1446;4/2019;2019_4_58;joka;2
1446;4/2019;2019_4_58;selkeä;1
1446;4/2019;2019_4_58;tarkoitus;1
1446;4/2019;2019_4_58;erittäin;2
1446;4/2019;2019_4_58;satonen;2
1446;4/2019;2019_4_58;kertoa;1
1446;4/2019;2019_4_58;hyvin;1
1446;4/2019;2019_4_58;kattavasti;1
1446;4/2019;2019_4_58;merkitys;1
1446;4/2019;2019_4_58;suomalainen;2
1446;4/2019;2019_4_58;suomi;2
1446;4/2019;2019_4_58;aiempi;1
1446;4/2019;2019_4_58;eduskunta;1
1446;4/2019;2019_4_58;linjaus;1
1446;4/2019;2019_4_58;rahoitus;1
1446;4/2019;2019_4_58;suhde;1
1446;4/2019;2019_4_58;kaupallinen;2
1446;4/2019;2019_4_58;media;3
1446;4/2019;2019_4_58;todella;2
1446;4/2019;2019_4_58;tärkeä;1
1446;4/2019;2019_4_58;huomioida;3
1446;4/2019;2019_4_58;tulevaisuustyö;1
1446;4/2019;2019_4_58;suhteen;1
1446;4/2019;2019_4_58;talo;3
1446;4/2019;2019_4_58;tasapaino;1
1446;4/2019;2019_4_58;toimija;2
1446;4/2019;2019_4_58;kanssa;1
1446;4/2019;2019_4_58;taitti;1
1446;4/2019;2019_4_58;antaa;1
1446;4/2019;2019_4_58;erityiskiitos;1
1446;4/2019;2019_4_58;yhä;1
1446;4/2019;2019_4_58;palvelu;2
1446;4/2019;2019_4_58;erityisesti;2
