speaker_id;word;statistic;pvalue;n_before;n_after
1089;arvoisa;3.439143202744001;0.06429617467445829;519;541
1089;herra;;;101;91
1089;puhemies;1.8950358294959464;0.16929043340913447;582;595
1089;olla;13.632958217149742;0.00024879815820866;3457;4020
1089;todella;1.3837778724660912;0.24049477892474588;222;301
1089;mukava;1.4705882352941175;0.24400674259097743;8;10
1089;huomata;2.40625;0.14315842472588788;6;11
1089;että;6.209586874639197;0.013054827670070563;1826;1989
1089;iso;1.886781930852931;0.17388708070114095;52;43
1089;joukko;0.19387755102040816;0.6646772056747909;11;16
1089;keskustella;0.15295322635711842;0.6972130340672169;38;30
1089;mikä;0.4882407800222135;0.48528895277172046;301;251
1089;tärkeä;24.87708703257176;1.0011294028090695e-06;312;442
1089;asia;2.37902780402809;0.12406829361914617;289;331
1089;edellä;1.2323713271329322;0.26868804318724737;104;84
1089;puhua;0.09177438662691317;0.7624759948685997;88;70
1089;edustaja;0.0025900417028568135;0.9594516963919569;284;199
1089;sana;2.9629629629629632;0.10446616410261654;10;10
1089;helppo;;;8;10
1089;yhtyä;;;20;7
1089;se;4.613174523829983;0.0322489513771951;2243;2462
1089;samalla;7.52666451195863;0.00841789954397229;23;38
1089;kun;0.3290753232488807;0.566544322533184;511;446
1089;eduskunta;0.9545940817851845;0.32967682761546657;165;192
1089;niin;1.5006033253633089;0.22127674301630254;727;785
1089;saada;2.461273154599011;0.11771426291333512;328;295
1089;antaa;0.09466380345299884;0.7590486272800496;60;58
1089;arvo;0.8608695652173913;0.3635637814137148;13;16
1089;koko;9.932420052373814;0.0019090542738079191;91;215
1089;suomalainen;3.4908530266337516;0.06285546307347606;242;268
1089;valtava;3.0804939053913287;0.08168639801055406;68;103
1089;merkitys;0.653571467679942;0.4222598928264115;32;59
1089;kanta;4.362278403272963;0.038399282691380224;115;128
1089;kuinka;7.57694628847314;0.007108714544517434;45;90
1089;suomi;17.401021031578324;3.7662196192515656e-05;525;906
1089;nousta;0.6276471610516648;0.4323764480543504;23;31
1089;maailma;0.33476054011997564;0.5636777646212905;118;229
1089;maa;8.56361056685359;0.003745138822734651;216;379
1089;ja;11.146179509755237;0.0009100062597360072;1965;2255
1089;kansakunta;0.028511449564081155;0.8665314656859879;22;55
1089;tällainen;3.0260603641051165;0.08319775981856213;189;242
1089;nuori;0.16589440046481232;0.685635850807107;57;65
1089;entinen;0.013734466971877045;0.9072648511139684;24;26
1089;haluta;2.4246338776395864;0.12063909501141645;279;198
1089;sanoa;0.003012112345027793;0.9563202318843337;78;89
1089;nyt;3.0468629751550873;0.08175116433828937;496;403
1089;täällä;3.904235770114781;0.04972740041724924;142;100
1089;sali;0.191984486102133;0.6630178866055848;41;24
1089;uusi;0.9329885088191894;0.33581471843883004;102;95
1089;tämä;0.6354271225740038;0.4257775278346414;2591;2559
1089;kannattaa;0.5688596615194256;0.45287292410593205;64;43
1089;kuitenkin;0.6993580295724283;0.4044772821725521;107;74
1089;pitää;1.557982229174346;0.21313331817030284;213;267
1089;ei;0.05327915790122143;0.8175744559072983;626;587
1089;hyvä;0.44122816822470684;0.5069726783019515;426;441
1089;esimerkki;0.7418399044205495;0.3938497191835786;20;41
1089;koska;0.6378677918115678;0.4260110045628561;84;74
1089;itse;0.7230491562970874;0.3963486362340868;118;135
1089;silloin;0.2252707556081148;0.6360385435230813;68;73
1089;ensimmäinen;0.7127610208816711;0.4027169387904196;26;35
1089;vaalikausi;0.03961267605633803;0.8444706959618304;11;14
1089;mutta;3.942135503504787;0.04781506121329912;396;443
1089;sitten;0.2515438711186876;0.616298358125104;473;478
1089;jälkeen;0.33374878310421585;0.5654870201182693;39;35
1089;luvata;;;12;9
1089;aihe;0.4754566210045661;0.4951670365957461;20;19
1089;palata;0.007022900763358782;0.9339383996009386;15;14
1089;tieto;0.5630026809651474;0.4574441157665511;40;23
1089;hyvin;0.03166610756559438;0.8588994374483366;235;255
1089;jos;0.09272436627753582;0.7610897477985524;166;127
1089;luottaa;2.2014742014742024;0.1468291708453807;16;25
1089;vain;0.6855173795452267;0.409026393783137;88;101
1089;tai;2.0205334230745535;0.1567577476546786;143;181
1089;muu;3.482210918520861;0.06387374535704027;86;155
1089;sosiaalinen;0.04339440694310511;0.8377865568905989;6;15
1089;palvelu;0.007290656880395112;0.9322595889848324;57;38
1089;keskustelu;0.37595526257107253;0.5405953500329689;153;138
1089;joka;7.817979623462078;0.005404221163443416;935;1134
1089;tulevaisuus;3.7306188621535696;0.05520210601390722;102;147
1089;auttaa;0.020008661758336942;0.8883729022670246;23;19
1089;lapsi;0.5402708925348987;0.46721732915608105;37;34
1089;ymmärtää;0.12722756213495168;0.722412578733826;50;38
1089;minkälainen;2.1714285714285717;0.15697079206043812;16;8
1089;pohja;1.9687402320777758;0.16476371523289154;37;62
1089;ajatus;0.08515671200473095;0.7716846498491658;37;28
1089;perustua;1.0848727422003284;0.308921675126423;17;12
1089;aika;0.46427138435473897;0.4962702344104276;213;233
1089;tehdä;0.5264942168594806;0.46858363816339454;374;388
1089;päätös;0.05183495297444352;0.8209318328666796;31;44
1089;tulla;0.42507153979306733;0.514885235447275;334;369
1089;toimi;0.1334638854062288;0.7157855474735229;69;45
1089;pelätä;1.1818181818181814;0.2967319909628601;13;7
1089;kovin;0.24338837427842658;0.6246851409622729;27;20
1089;jäädä;1.608761422573475;0.20940795092393188;43;38
1089;kuva;0.5833333333333333;0.45768790507519974;12;6
1089;ymmärrys;2.0307692307692307;0.1818932275010316;6;9
1089;tuleva;0.029943487509577274;0.862968288184896;66;79
1089;sukupolvi;3.205128205128206;0.08552728595647327;5;31
1089;aikaan;;;13;19
1089;joten;0.018547442405310435;0.8920319775321828;50;37
1089;viisas;1.2121212121212115;0.2839869947073752;11;12
1089;oma;1.3038157550627567;0.25477004795572405;152;213
1089;ihan;2.1749408983451533;0.14368888909601665;56;60
1089;muoto;3.220779220779222;0.08246644242471605;16;20
1089;jotta;5.078086087738174;0.025623634651768878;90;140
1089;oikeasti;0.2870394865974279;0.5955125111357327;27;17
1089;minä;15.884238051220795;8.252974287050683e-05;375;525
1089;kuin;6.848908294183467;0.009323604696004486;263;320
1089;käyttää;1.9367720748722987;0.16619560215939086;108;111
1089;totta;2.41278459267862;0.12505937600690484;30;59
1089;kai;0.8564495550317778;0.35909271354906946;21;41
1089;tutkia;0.33385703063629235;0.5709715015118182;14;12
1089;historia;0.23636363636363628;0.6349375554371683;8;10
1089;tuntea;0.11607142857142853;0.7360726400527418;18;13
1089;voida;2.0011860395945877;0.15799289296266972;521;515
1089;paljon;0.17459801851551082;0.6767520175246423;84;94
1089;hetki;0.1098174041026583;0.7413712387523551;47;36
1089;nähdä;0.24142808369506905;0.6242641403457276;63;64
1089;mahdollisesti;0.25333333333333335;0.6205228805043774;15;8
1089;mennä;3.140609303493697;0.08144237421732348;46;33
1089;luotettava;3.8888888888888853;0.07688509128348114;7;7
1089;erityisesti;0.019083080006581685;0.8905196124372443;48;37
1089;edustaa;1.0;0.3465935070873342;5;6
1089;toimija;1.8804810360777062;0.1811703687031243;30;18
1089;myös;23.13599179746948;2.1291738425198856e-06;587;849
1089;pystyä;4.909099651719903;0.027799841113533622;123;232
1089;näin;0.05141513422946544;0.8209338945059529;100;109
1089;toimia;1.371036022167487;0.24407568125162066;71;92
1089;toiminta;0.3784048894589909;0.5401015913338715;71;54
1089;aina;2.3419992226146435;0.12810658158690513;88;112
1089;toivoa;1.4061218584726853;0.23878831850065008;60;55
1089;kaikki;14.203238114729572;0.0001992966811283481;221;354
1089;pohjoismaa;2.435755660874145;0.1328676039438124;25;19
1089;varsin;1.6855562222840168;0.20144355186464533;25;22
1089;tuottaa;0.6475529911208103;0.4241661447073516;33;47
1089;toki;2.067475561603368;0.15341612710869726;57;85
1089;mielenkiintoinen;0.38918918918918927;0.5405521483309811;15;7
1089;sisältö;0.4286777474572068;0.518177741127182;16;16
1089;jakaa;3.7500000000000018;0.06706602246409957;14;11
1089;tehokkaasti;0.41538461538461524;0.5273779953967542;6;16
1089;eri;1.5806451612903216;0.21143084457364564;65;88
1089;varmasti;0.8731708549952738;0.35089874355671524;250;251
1089;palvella;0.1841655833397058;0.671493237127167;24;11
1089;tarkoitus;0.9259259259259264;0.3451394111374956;15;13
1089;viitata;0.037037037037037056;0.8491550922172942;8;20
1089;tarjota;2.213821361737601;0.14375403301656292;31;30
1089;esimerkiksi;5.070074496863332;0.025228790482082337;184;320
1089;parantaa;3.1939840392879058;0.08095986173836976;33;22
1089;käytäntö;1.4810686633200054;0.22638853381218768;62;74
1089;vastaavasti;;;6;6
1089;taas;3.4121501477861944;0.06956921799769432;39;40
1089;ruotsi;0.03523740660400095;0.8519820758523677;34;54
1089;asua;0.3200000000000002;0.5761132824052548;16;22
1089;huomattava;1.3846153846153857;0.25085577579335433;12;15
1089;määrä;0.04796888504753674;0.8278397317846249;29;24
1089;väestö;0.6402010050251256;0.4380156459147827;14;7
1089;ehkä;0.22937535720609964;0.6326412548327058;128;126
1089;hän;0.7152905736545538;0.3990052220929915;150;101
1089;kotimaa;0.025952960259529603;0.874031852282641;7;19
1089;uutinen;1.0;0.33428194339465767;10;8
1089;yleensä;0.0013958453074965165;0.9706323817076348;17;6
1089;siellä;0.04965504811221365;0.8239989317055474;105;89
1089;arki;0.08260325406758443;0.7747005584003334;58;42
1089;päästä;0.2236638575621623;0.6370937261614044;98;80
1089;kuulla;1.507038742603744;0.2251198660347712;35;29
1089;mieli;0.11586277923542808;0.7337698984957535;404;395
1089;esittää;0.14985016663517414;0.6993940276323128;103;65
1089;vetoomus;2.045454545454545;0.1864465094726225;5;8
1089;sinne;0.07372661000859732;0.7869671746078744;47;31
1089;suunta;0.004130590845805778;0.9489622728628578;40;38
1089;ohjelma;1.2244897959183672;0.29017124025683916;13;5
1089;osa;7.8983924409710555;0.005342760670798841;193;265
1089;mikään;0.8982056356641985;0.3456678899647737;67;64
1089;kysymys;0.03770401426335147;0.8463670177591788;81;98
1089;vastaan;0.5921052631578948;0.44762280506159313;15;29
1089;miettiä;2.9883268482490277;0.09029495421327355;32;28
1089;uskoa;3.2330907705556746;0.07571476921941006;45;56
1089;lisäarvo;1.2244897959183672;0.29017124025683916;11;5
1089;mietintö;3.6046084607656104;0.05994354203074475;69;133
1089;konkreettinen;0.14682352941176469;0.7032813789811025;33;23
